URL;Name;Rating;Address
https://www.google.com/maps/place/GOR+88+BADMINTON+CIKARET/data=!4m7!3m6!1s0x2e69c1de3cd51be1:0x235bd6b89f83a018!8m2!3d-6.465987!4d106.84218!16s%2Fg%2F11c47_k7p7!19sChIJ4RvVPN7BaS4RGKCDn7jWWyM?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/Lapangan+Bulutangkis+Cilibende+RT.02%2FRW.06/data=!4m7!3m6!1s0x2e69c42ccc465753:0x28f30e572581bc14!8m2!3d-6.5865014!4d106.8099665!16s%2Fg%2F11bwp7319z!19sChIJU1dGzCzEaS4RFLyBJVcO8yg?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/GOR+Badminton+Bukit+Jaya/data=!4m7!3m6!1s0x2e69c1d6c241b333:0x998ae456470861ab!8m2!3d-6.4643855!4d106.8569293!16s%2Fg%2F11c32b2c8n!19sChIJM7NBwtbBaS4Rq2EIR1bkipk?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/GOR+Bulutangkis+Widyatama/data=!4m7!3m6!1s0x2e69ea00ee3b4829:0x659d407dbd37b6c1!8m2!3d-6.4611853!4d106.8221826!16s%2Fg%2F11f3jmr7zl!19sChIJKUg77gDqaS4RwbY3vX1AnWU?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/GOR+Bulutangkis+KAYPI/data=!4m7!3m6!1s0x2e69c4a3ce4497ad:0x764ea53416380c8f!8m2!3d-6.554647!4d106.744227!16s%2Fg%2F11f15hs_k3!19sChIJrZdEzqPEaS4Rjww4FjSlTnY?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/Bulutangkis+Melia+Sawojajar/data=!4m7!3m6!1s0x2e69c5b55943b253:0x4910d5e7b11a2748!8m2!3d-6.5883242!4d106.7940623!16s%2Fg%2F11g8f_gf4z!19sChIJU7JDWbXFaS4RSCcasefVEEk?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/Bintang+Badminton+Club/data=!4m7!3m6!1s0x2e69c6a48fe8c145:0xddb99049dab9baf1!8m2!3d-6.5597301!4d106.8273717!16s%2Fg%2F11b70cblz8!19sChIJRcHoj6TGaS4R8bq52kmQud0?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/GOR+SULTAN/data=!4m7!3m6!1s0x2e69dbab03c4ad85:0x86fa560e38ce6731!8m2!3d-6.559793!4d106.7179319!16s%2Fg%2F11gsl_htms!19sChIJha3EA6vbaS4RMWfOOA5W-oY?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/Gor+Bulutangkis+Kosalina+%28Bang+Cepi%29/data=!4m7!3m6!1s0x2e69c314edb554f9:0xf716c8085a725ac4!8m2!3d-6.4919235!4d106.7998143!16s%2Fg%2F11f662kblv!19sChIJ-VS17RTDaS4RxFpyWgjIFvc?authuser=0&hl=id&rclk=1;;;
https://www.google.com/maps/place/GOR+Tannia/data=!4m7!3m6!1s0x2e69c3b88525bd8b:0x26cf4c2fab2cac71!8m2!3d-6.5204702!4d106.7999209!16s%2Fg%2F11tcw07v5r!19sChIJi70lhbjDaS4Rcawsqy9MzyY?authuser=0&hl=id&rclk=1;;;
;GOR 88 BADMINTON CIKARET;;
;Lapangan Bulutangkis Cilibende RT.02/RW.06;;
;GOR Badminton Bukit Jaya;;
;GOR Bulutangkis Widyatama;;
;GOR Bulutangkis KAYPI;;
;Bulutangkis Melia Sawojajar;;
;Bintang Badminton Club;;
;GOR SULTAN;;
;Gor Bulutangkis Kosalina (Bang Cepi);;
;GOR Tannia;;
;;4,5;
;;4,7;
;;4,6;
;;4,5;
;;4,5;
;;4,5;
;;4,5;
;;4,8;
;;4,5;
;;4,6;
;;;Lapangan Bulutangkis · Gg. Berkah No.88, RT.004/RW.006Tutup ⋅ Buka pukul 08.00 · 0896-3410-7189
;;;Lapangan Bulutangkis · CR75+9XW, RT.05/RW.02Buka 24 jam · 0881-0243-04045
;;;Lapangan Bulutangkis · Jl. Raya Tapos No.32Tutup ⋅ Buka pukul 08.00 · 0818-881-043
;;;Lapangan Bulutangkis · Pondok Widyatama Indah, Blk. L No.13Tutup ⋅ Buka pukul 07.00 · 0822-6015-2262
;;;Klub Badminton · Jl. Cilubang Nagrak No.RT 003/004, RT.01/RW.04Tutup ⋅ Buka pukul 08.00 · 0816-1191-627
;;;Lapangan Bulutangkis · Jl. Sawojajar No.5, RT.01/RW.04Tutup ⋅ Buka pukul 07.00 · (0251) 8326699
;;;Lapangan Bulutangkis · RT.01/RW.03Tutup ⋅ Buka pukul 08.00 · 0877-8001-4555
;;;Lapangan Bulutangkis · CPR9+35MBuka 24 jam · 0812-8677-933
;;;Lapangan Bulutangkis · Jl. Kp. Setu No.165, RT.02/RW.05Tutup ⋅ Buka pukul 08.00 · 0857-1507-7095
;;;Lapangan Bulutangkis · Jl. Bojong Gede RayaTutup ⋅ Buka pukul 08.00 · 0812-2365-1979
